Unnamed: 0,id,tweet_url,created_at,parsed_created_at,user_screen_name,text,tweet_type,coordinates,hashtags,media,urls,favorite_count,in_reply_to_screen_name,in_reply_to_status_id,in_reply_to_user_id,lang,place,possibly_sensitive,retweet_count,retweet_or_quote_id,retweet_or_quote_screen_name,retweet_or_quote_user_id,source,user_id,user_created_at,user_default_profile_image,user_description,user_favourites_count,user_followers_count,user_friends_count,user_listed_count,user_location,user_name,user_statuses_count,user_time_zone,user_urls,user_verified,hour,date,vaccine name,product name,company name,side effects,risks,benefits,vaccine benefits,organization,vaccine type,regulatory status,clinical trial phase,vaccination campaign,adverse reaction,immunization rate,public health policy,vaccine efficacy,vaccine safety,population segment,marketing strategy,public opinion,government funding,regulatory decision,economic impact
1,1426812312556654595,https://twitter.com/EnviviusNV/status/1426812312556654595,Sun Aug 15 07:45:38 +0000 2021,2021-08-15 07:45:38,EnviviusNV,@SPIDE83 @isabell02337249 Perso j'ai un schéma vaccinal complet avec une seule dose de Pfizer car j'avais eu le covid en mars. Plein de français sont dans ce cas-là et on les compte dans les premières doses je pense.,reply,,,,,1,SPIDE83,1.426805950153904e+18,1.0300793303056671e+18,fr,,,0,,,,<a href=,1002800751545118725,Sat Jun 02 06:35:05 +0000 2018,False,18yo 💥 CUPGE MP💥 YouTube : Envivius,1519,18,93,0,"Paris, France",Envivius,164,,https://www.youtube.com/channel/UCLq5iUN_g5tJom0O5oZSNtg?view_as=subscriber,FALSE,7,2021-08-15,,,Pfizer,,,,,,,,,,,,,,,,,,,,
2,1343334673737543680,https://twitter.com/JeanLenriot/status/1343334673737543680,Sun Dec 27 23:15:18 +0000 2020,2020-12-27 23:15:18,JeanLenriot,"Selon le Vidal, le vaccin Pfizer n’a pas prouvé son efficacité pour les plus de 75 ans et les formes graves du Covid. Conséquences: Macron fait vacciner les plus de 75 ans. https://t.co/NbnADNDN0U",retweet,,,,,860,,,,fr,,,564,1.34332011740543e+18,PhilippeMurer,2907408203.0,<a href=,1311324242336770000,Wed Sep 30 15:17:30 +0000 2020,False,,4558,57,45,0,,Jean-Pierre Lenriot,4884,,,FALSE,23,2020-12-27,Vidal,,Pfizer,,,,,Macron,,,,,,,,,,"les plus de 75 ans, les plus de 75 ans",,,,,
3,1451931767858941952,https://twitter.com/Mr_Kro/status/1451931767858941952,Sat Oct 23 15:21:23 +0000 2021,2021-10-23 15:21:23,Mr_Kro,Alerte: #moderna est désormais interdit en #Suede à cause de ses effets secondaires #vaccination #Covid https://t.co/8WKuWbrKVf,retweet,,moderna suede vaccination covid,,,1818,,,,fr,,,1257,1.451916967351292e+18,pierrejovanovic,205414077.0,<a href=,85791564,Wed Oct 28 10:57:50 +0000 2009,False,Pour les libertés individuelles. Contre les essais cliniques pour l'instant inutile. La 🇫🇷 n'est pas un état de droit,1381,69,606,37,France,Mr_Kro🌟🌟,25402,,,FALSE,15,2021-10-23,moderna,,,effets secondaires,,,,,,,,,,,,,,,,,,,
4,1354933964914499591,https://twitter.com/CouchouronI/status/1354933964914499591,Thu Jan 28 23:26:45 +0000 2021,2021-01-28 23:26:45,CouchouronI,#Covid19 #Vaccin COMIRNATY - Délai entre première et seconde dose ; fin de partie. LAgence Européenne des Médicaments recommande un intervalle de trois semaines (et pas plus) entre deux injections pour le vaccin de Pfizer/BioNTech https://t.co/rMLHJ6gGSj,retweet,,covid19 vaccin,,,103,,,,fr,,,65,1.3548983669630523e+18,fignon_laurent,8.606323695644385e+17,<a href=,1092434830015508480,Mon Feb 04 14:48:54 +0000 2019,True,,19525,58,88,0,,Colibris,44040,,,False,23,2021-01-28,COMIRNATY,,"Pfizer, BioNTech",,,,,,,,,,,,,,,,,,,,
5,1382442909413294081,https://twitter.com/LaurenceVilcot/status/1382442909413294081,Wed Apr 14 21:17:28 +0000 2021,2021-04-14 21:17:28,LaurenceVilcot,Le Danemark est le premier pays d'Europe à renoncer définitivement au vaccin anti-Covid d'AstraZeneca #AFP https://t.co/Alj3d566II,retweet,,afp,,,1151,,,,fr,,,722,1.3823054437127987e+18,afpfr,338985020.0,<a href=,1378246348244455425,Sat Apr 03 07:22:12 +0000 2021,False,,134,0,32,0,,vilcot laurence,96,,,False,21,2021-04-14,,,AstraZeneca,,,,,,,,,,,,,,,,,,,,
6,1425683725577228296,https://twitter.com/MonteiroSusana2/status/1425683725577228296,Thu Aug 12 05:01:02 +0000 2021,2021-08-12 05:01:02,MonteiroSusana2,"@moussya @cajounice Sans vouloir vous inquiéter, un oncle vacciné 2 fois avec Pfizer à attrapé le Covid. Il est décédé ce matin à l’hôpital. Malheureusement le vaccin ne protège pas à 100% . Les personnes fragiles peuvent développer des formes graves même vaccinés. Protégez vous ! #COVID19",retweet,,covid19,,,88,,,,fr,,,40,1.425475374591496e+18,SitgesFranck,2781878260.0,<a href=,1422215744851435530,Mon Aug 02 15:20:50 +0000 2021,False,"Vérité, spontanée,obstinée",0,268,0,0,,Monteiro Susana,1381,,,FALSE,5,2021-08-12,,,Pfizer,,,,,,,,,,,,,,,personnes fragiles,,,,,
7,1450124275441094656,https://twitter.com/aselcelikel_/status/1450124275441094656,Mon Oct 18 15:39:03 +0000 2021,2021-10-18 15:39:03,aselcelikel_,"Et voilà ! L’Agence européenne du Médicament, financée à 85% par les labos, « lance l’évaluation » du #Pfizer chez les enfants de 5 à 11 ans ! Et devinez quoi ? L’évaluation dira que ce produit est formidable ! ➡️ Où est la balance bénéfice-risque ? Stop ! https://t.co/GoRqBLezHT",retweet,,pfizer,,,1537,,,,fr,,,728,1.4501241668589486e+18,f_philippot,472412809.0,<a href=,1437431519103098881,Mon Sep 13 15:03:24 +0000 2021,False,tweets en francais et en turc  francoturc  universite de nice sophia antipolis (geophysique)  violoniste le mere du Kara copilote géologue marin,12982,454,2241,0,"Nice, France",İdal Asel Çelikel Ⓥ 🙂 #nonaupassdelahonte,5751,,http://www.reinfocovid.fr,FALSE,15,2021-10-18,,Pfizer,,,,,,"Agence européenne du Médicament, labos",,,,,,,,,,enfants de 5 à 11 ans,,,,,
8,1411043346160799745,https://twitter.com/ElsacienneL/status/1411043346160799745,Fri Jul 02 19:25:24 +0000 2021,2021-07-02 19:25:24,ElsacienneL,"Info vaccin COVID Pour les habitant de @VilledeHaguenau et environ (@strasbourg). Demain matin 03 juillet, 4 doses de Moderna disponibles. A RT SVP https://t.co/c3m6pLjJoX",retweet,,,,,14,,,,fr,,,19,1.4110246610020352e+18,EricBillyFR,2882771723.0,<a href=,1236360733581082626,Sat Mar 07 18:39:51 +0000 2020,False,"Fan de JJG et de Cabrel🎵🎼🎷j'aime la lecture, certaines séries TV et danser le rock avec mon Spetzbue 💃👣 malentendante 👂📣",9358,92,206,0,,L'Elsacienne💉💉🎶🥨👠,4160,,,FALSE,19,2021-07-02,Moderna,,,,,,,RT SVP,,,,,,,,,,,,,,,
9,1379509250179923969,https://twitter.com/CosetteRusso/status/1379509250179923969,Tue Apr 06 19:00:09 +0000 2021,2021-04-06 19:00:09,CosetteRusso,Parce qu'Il y avait encore des gens pour exiger des preuves de limplication d'#AstraZeneca dans les centaines thromboses post vaccinales ? Ce sont les mêmes qui n'avaient absolument pas besoin de preuve pour valider la dangerosité de l'Hydroxychloroquine je suppose. https://t.co/oi95XeWVPr,retweet,,astrazeneca,,,38,,,,fr,,,13,1.3794972939934147e+18,Justindoigt2,1.3084498942529085e+18,<a href=,767465023023247360,Sun Aug 21 20:54:55 +0000 2016,False,Gardons notre esprit critique et notre liberté de penser...RT pas forcément aval ! Pluralité des opinions... J'? humains & animaux #Stopcruauté #stopabandon,31151,1057,3340,39,France,Vivre libre #Stopabandon,64523,,,False,19,2021-04-06,,Hydroxychloroquine,AstraZeneca,,,,,,,,,,,,,,,,,,,,
10,1459272007653146628,https://twitter.com/MarySam46329509/status/1459272007653146628,Fri Nov 12 21:28:53 +0000 2021,2021-11-12 21:28:53,MarySam46329509,Covid-19 : un laboratoire accusé d'avoir mal mené des essais sur le vaccin Pfizer…😡  Toujours aucune réaction de Véran depuis le PfizerGate…😳  RT si tu es dégoûté par ce ministre soi-disant de la Santé!🤢 https://t.co/8LZNYGk5up,retweet,,,,,658,,,,fr,,,924,1.459196241208922e+18,EnModeMacaron,8.937588542945894e+17,<a href=,1243759385899339776,Sat Mar 28 04:38:55 +0000 2020,False,,12004,104,264,0,,Mary Sam,7208,,,FALSE,21,2021-11-12,"Pfizer, PfizerGate",,,,,,,"laboratoire, Véran, RT",,,,,,,,,,,,,,,
